"Rank","Player","Country","Prize"
"1","Michael van Gerwen","Netherlands","£8,321,167"
"2","Phil Taylor","England","£7,630,816"
"3","Gary Anderson","Scotland","£4,118,772"
"4","Raymond van Barneveld","Netherlands","£3,510,128"
"5","Peter Wright","Scotland","£3,470,888"
"6","James Wade","England","£3,458,893"
"7","Adrian Lewis","England","£3,137,634"
"8","Simon Whitlock","Australia","£2,149,499"
"9","Dave Chisnall","England","£1,963,415"
"10","Michael Smith","England","£1,769,935"
"11","Mervyn King","England","£1,733,358"
"12","Rob Cross","England","£1,622,600"
"13","Gerwyn Price","Wales","£1,497,803"
"14","Mensur Suljovic","Austria","£1,418,867"
"15","Daryl Gurney","Northern Ireland","£1,359,200"
"16","Terry Jenkins","England","£1,348,883"
"17","Robert Thornton","Scotland","£1,315,126"
"18","Ian White","England","£1,235,808"
"19","Steve Beaton","England","£1,109,305"
"20","Andy Hamilton","England","£1,089,788"
"21","Kim Huybrechts","Belgium","£1,067,212"
"22","Stephen Bunting","England","£1,053,513"
"23","Vincent van der Voort","Netherlands","£1,030,450"
"24","Jelle Klaasen","Netherlands","£1,007,796"
"25","John Part","Canada","£951,176"
"26","Kevin Painter","England","£926,471"
"27","Ronnie Baxter","England","£897,032"
"28","Mark Webster","Wales","£894,214"
"29","Wes Newton","England","£878,116"
"30","Glen Durrant","England","£863,872"
"31","Colin Lloyd","England","£853,774"
"32","Brendan Dolan","Northern Ireland","£847,089"
"33","Justin Pipe","England","£751,325"
"34","Martin Adams","England","£740,557"
"35","Joe Cullen","England","£680,344"
"36","Scott Waites","England","£679,769"
"37","Dennis Priestley","England","£625,469"
"38","Darren Webster","England","£616,526"
"39","Nathan Aspinall","England","£607,925"
"40","Mark Walsh","England","£599,292"
"41","Dimitri van den Bergh","Belgium","£591,804"
"42","Wayne Jones","England","£587,186"
"43","Jamie Caven","England","£582,520"
"44","Paul Nicholson","Australia","£581,666"
"45","Benito van de Pas","Netherlands","£554,346"
"46","Alan Norris","England","£539,662"
"47","John Henderson","Scotland","£535,131"
"48","Jonny Clayton","Wales","£524,300"
"49","Kyle Anderson","Australia","£513,176"
"50","Peter Manley","England","£511,336"
"51","Roland Scholten","Netherlands","£488,750"
"52","Andy Smith","England","£468,752"
"53","Wayne Mardle","England","£450,831"
"54","Colin Osborne","England","£448,207"
"55","Alan Tabern","England","£443,150"
"56","Max Hopp","Germany","£439,148"
"57","Richie Burnett","Wales","£435,545"
"58","Krzysztof Ratajski","Poland","£424,105"
"59","Mark Dudbridge","England","£418,516"
"60","Denis Ovens","England","£401,169"
"61","Jermaine Wattimena","Netherlands","£398,427"
"62","Steve West","England","£391,651"
"63","Jamie Lewis","Wales","£391,232"
"64","Keegan Brown","England","£387,350"
"65","Chris Dobey","England","£384,750"
"66","James Wilson","England","£382,903"
"67","Tony O Shea","England","£375,625"
"68","Co Stompe","Netherlands","£369,189"
"69","Ted Hankey","England","£366,504"
"70","Andy Jenkins","England","£352,068"
"71","Jeffrey de Zwaan","Netherlands","£348,294"
"72","Ricky Evans","England","£345,022"
"73","Cristo Reyes","Spain","£343,004"
"74","Christian Kist","Netherlands","£342,465"
"75","Danny Noppert","Netherlands","£341,485"
"76","Paul Lim","Singapore","£324,878"
"77","Willie O Connor","Ireland","£306,178"
"78","Dean Winstanley","England","£287,609"
"79","Jamie Hughes","England","£280,146"
"80","Jan Dekker","Netherlands","£273,698"
"81","Ronny Huybrechts","Belgium","£270,743"
"82","Andy Fordham","England","£268,687"
"83","Scott Mitchell","England","£264,352"
"84","Darryl Fitton","England","£251,928"
"85","Barrie Bates","Wales","£247,063"
"86","Josh Payne","England","£244,975"
"87","Alan Warriner-Little","England","£238,040"
"88","Dennis Smith","England","£234,969"
"89","Andrew Gilding","England","£234,609"
"90","Devon Petersen","South Africa","£228,784"
"91","Rowby John Rodriguez","Austria","£227,561"
"92","Robbie Green","England","£221,908"
"93","Steve Lennon","Ireland","£218,618"
"94","Luke Humphries","England","£217,015"
"95","Michael Mansell","Northern Ireland","£215,823"
"96","Lourence Ilagan","Philippines","£209,278"
"97","Gary Robson","England","£207,726"
"98","Ron Meulenkamp","Netherlands","£204,514"
"99","Matt Clark","England","£202,623"
"100","Alex Roy","England","£202,251"
"101","Chris Mason","England","£198,458"
"102","Darin Young","USA","£194,659"
"103","Kirk Shepherd","England","£193,415"
"104","Tony Eccles","England","£192,348"
"105","Bob Anderson","England","£189,711"
"106","Gabriel Clemens","Germany","£188,866"
"107","Kevin McDine","England","£186,852"
"108","James Richardson","England","£184,740"
"109","Darius Labanauskas","Lithuania","£184,407"
"110","Antonio Alcinas","Spain","£182,183"
"111","Martin Schindler","Germany","£179,963"
"112","Ross Smith","England","£178,340"
"113","Steve Brown","England","£177,569"
"114","Martin Phillips","Wales","£176,238"
"115","Wesley Harms","Netherlands","£175,683"
"116","Ryan Searle","England","£170,600"
"117","Ross Montgomery","Scotland","£170,553"
"118","Mark McGeeney","England","£166,572"
"119","John Walton","England","£164,705"
"120","Joe Murnan","England","£164,655"
"121","Stuart Kellett","England","£158,726"
"122","Tony David","Australia","£156,651"
"123","Ted Evetts","England","£155,175"
"124","Ryan Joyce","England","£154,791"
"125","Colin Monk","England","£151,712"
"126","Lisa Ashton","England","£150,704"
"127","Arron Monk","England","£148,073"
"128","Andy Boulton","England","£145,765"
"129","Richard North","England","£144,955"
"130","John Lowe","England","£144,543"
"131","Magnus Caris","Sweden","£143,984"
"132","Mick McGowan","Ireland","£141,593"
"133","Andree Welge","Germany","£141,320"
"134","Deta Hedman","England","£140,614"
"135","Steve Hine","England","£139,915"
"136","Corey Cadby","Australia","£137,528"
"137","Jeffrey de Graaf","Netherlands","£137,209"
"138","Rod Harrington","England","£135,180"
"139","Dave Pallett","England","£135,118"
"140","Dirk van Duijvenbode","Netherlands","£131,387"
"141","Adrian Gray","England","£130,784"
"142","Anastasia Dobromyslova","Russia","£130,360"
"143","Steve Maish","England","£127,721"
"144","Jeff Smith","Canada","£123,511"
"145","Boris Krcmar","Croatia","£123,272"
"146","Dave Askew","England","£123,169"
"147","Peter Evison","England","£120,648"
"148","Matt Edgar","England","£118,817"
"149","Jim Williams","Wales","£118,454"
"150","Zoran Lerchbacher","Austria","£117,085"
"151","Michael Barnard","England","£116,484"
"152","Darren Johnson","England","£116,418"
"153","Trina Gulliver","England","£110,815"
"154","Adam Hunt","England","£106,225"
"155","Jose de Sousa","Portugal","£105,847"
"156","Madars Razma","Latvia","£105,677"
"157","Jyhan Artut","Germany","£105,509"
"158","Simon Stevenson","England","£104,400"
