Player,Country,Age,Career Rank,PDC Rank,Tour Card
Michael van Gerwen,Netherlands,32,1,1,Yes
Gary Anderson,Scotland,50,3,8,Yes
Peter Wright,Scotland,51,5,2,Yes
James Wade,England,38,6,9,Yes
Adrian Lewis,England,36,7,13,Yes
Simon Whitlock,Australia,52,8,14,Yes
Dave Chisnall,England,40,9,11,Yes
Michael Smith,England,30,10,5,Yes
Mervyn King,England,55,11,22,Yes
Rob Cross,England,30,12,4,Yes
Gerwyn Price,Wales,36,13,3,Yes
Mensur Suljovic,Austria,49,14,12,Yes
Daryl Gurney,Northern Ireland,35,15,7,Yes
Robert Thornton,Scotland,53,17,61,Yes
Ian White,England,50,18,10,Yes
Steve Beaton,England,57,19,25,Yes
Andy Hamilton,England,54,20,105,2 Year
Kim Huybrechts,Belgium,35,21,36,Yes
Stephen Bunting,England,36,22,16,Yes
Vincent van der Voort,Netherlands,45,23,33,Yes
Jelle Klaasen,Netherlands,36,24,48,Yes
Glen Durrant,England,50,30,19,Yes
Brendan Dolan,Northern Ireland,47,32,31,Yes
Justin Pipe,England,49,33,55,Yes
Joe Cullen,England,31,35,17,Yes
Scott Waites,England,44,36,100,2 Year
Darren Webster,England,52,38,27,Yes
Dimitri van den Bergh,Belgium,26,41,28,Yes
Wayne Jones,England,56,42,113,2 Year
Benito van de Pas,Netherlands,28,45,52,Yes
John Henderson,Scotland,47,47,32,Yes
Jonny Clayton,Wales,46,48,15,Yes
Kyle Anderson,Australia,33,49,45,Yes
Alan Tabern,England,54,55,98,2 Year
Max Hopp,Germany,24,56,24,Yes
Jamie Lewis,Wales,29,63,60,Yes
Keegan Brown,England,28,64,30,Yes
Chris Dobey,England,30,65,20,Yes
Jeffrey de Zwaan,Netherlands,25,71,21,Yes
Ricky Evans,England,30,72,29,Yes
Cristo Reyes,Spain,33,73,46,Yes
Danny Noppert,Netherlands,30,75,26,Yes
Willie O Connor,Ireland,34,77,37,Yes
Jamie Hughes,England,35,79,41,Yes
Jan Dekker,Netherlands,30,80,59,Yes
Ronny Huybrechts,Belgium,55,81,127,No
Scott Mitchell,England,50,83,107,No
Barrie Bates,Wales,51,85,95,Yes
Andrew Gilding,England,50,89,126,No
Devon Petersen,South Africa,34,90,54,Yes
Rowby John Rodriguez,Austria,27,91,70,Yes
Luke Humphries,England,26,94,34,Yes
Michael Mansell,Northern Ireland,47,95,53,Yes
Ron Meulenkamp,Netherlands,32,98,49,Yes
Matt Clark,England,53,99,82,Yes
Kirk Shepherd,England,34,103,78,Yes
Darius Labanauskas,Lithuania,44,109,50,Yes
Antonio Alcinas,Spain,42,110,62,Yes
Martin Schindler,Germany,24,111,51,Yes
Ross Smith,England,32,112,47,Yes
Steve Brown,England,40,113,114,2 Year
Wesley Harms,Netherlands,36,115,109,2 Year
Mark McGeeney,England,48,118,67,Yes
Joe Murnan,England,37,120,72,Yes
Lisa Ashton,England,50,126,125,2 Year
Andy Boulton,England,48,128,68,Yes
Richard North,England,31,129,57,Yes
Dirk van Duijvenbode,Netherlands,28,140,77,2 Year
Adrian Gray,England,40,141,83,Yes
Jeff Smith,Canada,45,144,92,2 Year
Matt Edgar,England,34,148,63,Yes
Madars Razma,Latvia,32,156,69,Yes
Simon Stevenson,England,49,158,65,Yes
John Michael,Greece,47,164,88,Yes
Peter Jacques,England,48,213,120,2 Year
Diogo Portela,Brazil,32,220,153,No
Conan Whitehead,England,35,244,75,Yes
Rhys Hayden,England,26,437,124,No
